 0  1  2  3  4  5  6  7  8 
0.66 449.683 97.6337 73.4384 75.3951 77.4553 76.7492 73.7859 69.4988 64.6368 
0.67 449.251 97.7098 73.1887 75.8598 77.6758 76.2077 72.8622 69.0398 65.5087 
0.68 449.552 97.7192 73.9732 75.6656 77.2302 76.2127 73.316 69.5331 65.593 
0.69 449.444 98.0298 73.0878 75.0398 77.4643 77.0678 74.0468 69.3054 63.7536 
0.7 450.034 97.3701 74.6763 76.7714 77.832 76.1887 73.1019 69.6692 66.4793 
0.71 449.64 97.336 74.1104 76.3964 77.7054 76.1219 72.9266 69.3027 65.9065 
0.72 449.66 97.9314 73.3858 75.5747 77.7576 76.9655 73.79 69.326 64.4693 
0.73 449.455 99.1977 72.3097 74.9909 77.8342 77.1267 73.8366 69.4768 65.0806 
0.74 448.337 98.6972 71.4659 74.3137 77.6297 77.2868 73.941 69.0071 63.6035 
0.75 448.944 96.7947 73.345 75.4995 77.4967 76.6898 73.6215 69.2031 64.1864 
0.76 449.244 96.9363 73.7093 75.5921 77.3749 76.4923 73.5171 69.3678 64.7679 
0.77 448.019 102.77 70.547 69.0239 70.877 72.4106 73.3288 73.8254 74.0805 
0.78 450.232 99.068 72.4225 75.2492 78.1466 77.5688 74.3775 69.8292 64.7916 
0.79 449.495 97.5189 74.4355 75.6416 77.0231 76.1337 73.3978 69.6298 65.5235 
0.8 450.125 97.2601 74.6922 75.9213 77.2409 76.3531 73.6705 69.9057 65.6426 
0.81 448.639 96.9426 74.1874 75.3516 76.6805 75.7679 73.0065 69.1893 65.0131 
0.82 449.258 97.3852 73.6243 75.6451 77.5948 76.6985 73.5305 69.1038 64.2389 
0.83 449.614 97.2547 74.562 75.8535 77.0618 75.9425 73.1165 69.4812 65.7105 
0.84 450.177 99.0968 74.8047 75.6372 76.1679 74.8504 72.8085 70.7998 69.1109 
0.85 449.908 97.7143 74.4731 75.862 77.2466 76.2206 73.3626 69.5772 65.5692 
0.86 449.363 97.2989 74.5728 75.8972 77.0157 75.7877 72.9578 69.4709 65.9834 
0.87 449.455 97.6754 74.2996 75.5673 76.9179 75.9546 73.2569 69.7313 66.0694 
0.88 450.824 98.0944 74.9129 76.3054 77.7262 76.7549 73.9483 70.2162 66.2767 
0.89 449.091 97.2861 74.4471 75.6008 76.6876 75.5292 72.7811 69.3337 65.8301 
0.9 449.601 99.3728 71.5244 74.083 77.8347 78.172 75.0888 69.6896 63.1419 
0.91 450.088 96.8276 74.7462 76.48 77.5515 76.0854 73.0214 69.3557 65.7378 
0.92 450.242 97.608 74.3858 75.7656 77.4905 76.9189 74.2519 70.1365 65.1952 
0.93 449.772 97.0767 74.9727 76.1358 77.122 75.8709 73.0477 69.5457 66.0203 
0.94 448.411 96.717 73.3033 75.267 77.178 76.363 73.4128 69.2516 64.5834 
0.95 449.659 97.2101 75.112 76.347 77.1383 75.6922 72.8971 69.6742 66.5877 
0.96 449.64 96.8429 74.6153 76.2228 77.6445 76.6348 73.7464 69.7993 65.4311 
0.97 449.931 97.1291 74.647 75.7288 77.2299 76.6645 74.1201 70.123 65.2396 
0.98 449.332 96.6873 74.1527 75.8046 77.2819 76.2638 73.3165 69.2917 64.8585 
0.99 449.892 96.8234 75.4411 76.6375 77.1864 75.6159 72.8202 69.6275 66.541 
